Energy (keV),Attenuation Coeff
20,1.4432117528853687
25,0.8485911833177324
30,0.5885405733381412
35,0.452931388000116
40,0.37534964530427406
45,0.3273824582552932
50,0.2951779193548338
55,0.27244765078322297
60,0.25592890481092645
65,0.24421999388467214
70,0.2339799635084231
75,0.2257946119320617
80,0.21917297156781443
85,0.21339622333446162
90,0.20871269620851002
95,0.2037005641877364
100,0.20037628093084225
