Energy (keV),MAC
20.0,0.602696832437154
22.0,0.4807089301010844
24.0,0.3951715507678671
26.0,0.3342382665258673
28.0,0.28837666070436174
30.0,0.2558769677330357
32.0,0.22994180851728024
34.0,0.20791373272189312
36.0,0.1921924685774798
38.0,0.1785894807071884
40.0,0.16717772210273327
42.0,0.15877896961259635
44.0,0.15085074448119618
46.0,0.14409534234786034
48.0,0.13879092032713386
50.0,0.13344045027056453
52.0,0.12934706682005997
54.0,0.12569879243335824
56.0,0.12201456631912237
58.0,0.11916713217303591
60.0,0.11603135192430683
62.0,0.11383093678303273
64.0,0.11148075180108302
66.0,0.10937469099409292
68.0,0.10754625741525235
70.0,0.1054533629383837
72.0,0.10392528858077867
74.0,0.10241729856957119
76.0,0.10104200302947193
78.0,0.09968399855861078
80.0,0.09837698346663318
82.0,0.09674782199945768
84.0,0.09585155534173388
86.0,0.0945523680482684
88.0,0.09368444145908605
90.0,0.09251949262946321
92.0,0.09118110009199736
94.0,0.09047822064074251
96.0,0.08982392581595272
98.0,0.08876139801866043
100.0,0.08779005775791808
