Energy (keV),Attenuation Coeff
20,0.7123551721584546
25,0.4202202073320664
30,0.29020227859671266
35,0.22228724050818383
40,0.18424091469076234
45,0.1604657767464031
50,0.14517003124277758
55,0.1347842297096305
60,0.12700741194649492
65,0.12173454919982112
70,0.11673601519601427
75,0.11282803840762207
80,0.10991504673638684
85,0.1072556887152916
90,0.10447395978993552
95,0.10264653690662012
100,0.1009986328004396
