Energy (keV),MAC
20.0,0.21245449476331693
22.0,0.14608769327962404
24.0,0.10667694294442097
26.0,0.0799261603780959
28.0,0.05709206795730971
30.0,0.04976837393331219
32.0,0.0434617365694952
34.0,0.029985972680495767
36.0,0.02584266358251613
38.0,0.02253938751541354
40.0,0.02016479020621609
42.0,0.015228062373681638
44.0,0.015006500275711218
46.0,0.011456604534138149
48.0,0.009113344274784387
50.0,0.00661423526864145
52.0,0.00890416561721848
54.0,0.007692485296884646
56.0,0.006756872891060495
58.0,0.006268560709500742
60.0,0.005689418495371619
62.0,0.005625617696761504
64.0,0.0056136399991780035
66.0,0.005540098898871511
68.0,0.005661982327607608
70.0,0.039426179854614815
72.0,0.04440187051782251
74.0,0.04522514830889905
76.0,0.0450443534926511
78.0,0.0433366478163508
80.0,0.04240404680175239
82.0,0.04124527071463608
84.0,0.03970928843473473
86.0,0.039025109577949836
88.0,0.03889872539620784
90.0,0.051910528486158396
92.0,0.053014824250747994
94.0,0.052660485939313925
96.0,0.05150026139840601
98.0,0.050910844254251734
100.0,0.04930740811986685
