Energy (keV),Optimal_Thickness,Attenuation Coeff
1.0,0.00156734375,3204.165693302544
1.25,0.0027512722167968755,1771.821084039767
1.5,0.004477435288238525,1079.4611274112801
1.75,0.007420216507382395,705.1262946935042
2.0,0.01063479802356726,485.64868676008234
2.25,0.014483047157305296,349.10551570561057
2.5,0.018186241894868393,258.80285602852297
2.75,0.027054979609833423,196.86569527173998
3.0,0.03338545405378693,153.50791059584816
3.25,0.03947956674062081,122.06101301432567
3.5,0.0494024492335088,98.46520422077091
3.75,0.06190910015848236,80.63589108500392
4.0,0.07758471734286684,66.77274122129784
4.25,0.02449186027933324,197.98744212971135
4.5,0.029872971106424825,170.61290696879445
4.75,0.03622341849064947,147.84278196693745
5.0,0.04111671262101424,128.8536553191457
5.25,0.04407118119642782,113.42199381722997
5.5,0.05199707647215225,100.0256002822988
5.75,0.05897988655543718,88.87384055097354
6.0,0.06321721480193407,79.32566378938628
6.25,0.07458637642355825,71.51393046066178
6.5,0.07587805816761233,64.67138840947507
6.75,0.08602187458497673,58.47222431866677
7.0,0.09592221610324334,52.908363262299126
7.25,0.10966620127276078,47.941543961195
7.5,0.12233230154479693,43.546088117323414
7.75,0.11667620199151421,39.794571310163775
8.0,0.1473962549163521,36.27419699620598
8.25,0.15019925571972484,33.27058907275222
8.5,0.1703061652406979,30.504066017434585
8.75,0.1899081932101557,28.054817914050226
9.0,0.18112228330568314,25.941615216780388
9.25,0.20738052892983783,23.96806495831517
9.5,0.22231281269183734,22.203584702168165
9.75,0.2380621466165432,20.62701712333663
10.0,0.25492250942669165,19.188978980966493
10.25,0.272976894121402,17.891101229641944
10.5,0.29230994349184936,16.709720099265557
10.75,0.3130122178707835,15.632759718339907
11.0,0.33518068994107486,14.655795031416966
11.25,0.3589192002586631,13.750434410920656
11.5,0.3843389436812886,12.930776774862654
11.75,0.4115589902228515,12.183719853724627
12.0,0.44070684279579897,11.483811625578621
12.25,0.4719190344545098,10.830608277232749
12.5,0.5053417679372589,10.234510203896676
12.75,0.5411316005024814,9.688861147159223
13.0,0.5204727045488181,9.190946001446559
13.25,0.5867656671204654,8.708779178023443
13.5,0.5772808707141868,8.277417218196709
13.75,0.6320056948550412,7.863762781928881
14.0,0.677018685046932,7.483692107284454
14.25,0.7249718004562868,7.11947999011567
14.5,0.7763165802421021,6.785599908041597
14.75,0.7466789787442502,6.4796559747657305
15.0,0.8417839885536214,6.182074767782166
15.25,0.8281769385963693,5.910485144149891
15.5,0.9066861004645361,5.649658424973528
15.75,0.9712625004551985,5.405217400839834
16.0,0.9341881813455991,5.18159831560318
16.25,1.0531770343455018,4.963532758204657
16.5,0.8982028921478205,4.769238461920437
16.75,1.1029078686058433,4.573422136502625
17.0,1.1835925754162893,4.385864528347224
17.25,1.138447351360364,4.220469646841608
17.5,1.2834569163808203,4.0519103653475055
17.75,1.094597413625464,3.9081421350061674
18.0,1.3440617036554716,3.7569042405523927
18.25,1.4423883434024147,3.6141938443044297
18.5,1.3873719920936458,3.4860260624051107
18.75,1.5640882968529302,3.3575529671288136
19.0,1.5388057719266737,3.2429347346030584
19.25,1.6846808272379143,3.126340307779697
19.5,1.6209527623735993,3.020822517499115
19.75,1.8274827300405287,2.9148262133758522
20.0,1.7979451503710275,2.8224752044062713
20.25,1.7669939677516664,2.730167053935627
20.5,1.9964203373703313,2.6380905189207504
20.75,1.9643307865910313,2.556756130483176
21.0,1.9305194559988423,2.4765433251515416
21.25,2.1811784322637973,2.396563006501938
21.5,1.8603849423841656,2.326281602951981
21.75,2.2843882077801005,2.2519128136899824
22.0,2.2018373302241256,2.1870140404746317
22.25,2.4828263994984896,2.1195386813983816
22.5,2.4427151204007846,2.0600174964616795
22.75,2.40066481314995,2.001150012333228
23.0,2.712367008621485,1.9410948625667057
23.25,2.6687696593201506,1.889335219114923
23.5,2.6228330717814536,1.8368182594227238
23.75,2.9633821663031394,1.7833739409242835
24.0,2.915750138181529,1.7376658320007525
24.25,2.865562363640824,1.6909765722648786
24.5,3.2376274709858235,1.6440785029539617
24.75,3.1855873512567374,1.6026962334965544
25.0,3.130754964327957,1.5621540376173673
25.25,2.952313034165866,1.5245080647435736
25.5,3.378942049268656,1.4848779688004956
25.75,3.6222167115830946,1.4468720823494141
26.0,3.4839938529804004,1.4124772344587087
26.25,3.2785555598351905,1.380213482170707
26.5,3.752043057073097,1.3457648586415567
26.75,4.022175103565638,1.311855662538226
27.0,3.8686898578539037,1.283009512971362
27.25,3.6405674501638847,1.2547604830133368
27.5,4.166336539039241,1.2240710900236835
27.75,4.011550394005258,1.1981856706856937
28.0,4.522998962200548,1.1689902701578871
28.25,4.449907365658478,1.1448662339510636
28.5,4.373303621900587,1.119723574297246
28.75,4.124040004922319,1.0978956294961233
29.0,4.719991384197761,1.073159907672718
29.25,4.544641428803584,1.050919180510482
29.5,5.124056520583253,1.0276720283036613
29.75,5.041251868579807,1.0077115408682815
30.0,4.954468317381355,0.9871617604870322
30.25,4.672080264886336,0.9691397007435273
30.5,5.347227129279162,0.9485680804663379
30.75,5.1485750635697585,0.9305935123975759
31.0,5.804988146917932,0.9107761712003598
31.25,5.711179653303781,0.8942826346155738
31.5,5.61286350787666,0.8778009777031488
31.75,5.292949141011279,0.8625119705851162
32.0,6.0578157129325145,0.8454049338773316
32.25,5.83276493877115,0.8303492690611216
32.5,5.489393316724537,0.8166598358102936
32.75,6.282192569542156,0.8013643553529676
33.0,6.7344856320497275,0.7862172014292692
33.25,6.477499267811202,0.7740033327225198
33.5,6.095544967832417,0.7611181072559647
33.75,6.975860788895347,0.7466280084606587
34.0,6.716696271173914,0.7346121204557023
34.25,6.321287372296272,0.723744771052661
34.5,7.234231927160306,0.710494543437726
34.75,6.965468908191559,0.6996662832352608
35.0,6.555414913040836,0.689494824482662
35.25,7.502173066422175,0.6775382854744753
35.5,7.223455615517769,0.6673126209849078
35.75,8.144402846342853,0.6561728148444154
36.0,8.012789418447543,0.6461878966574619
36.25,7.874851790368978,0.6372403332817018
36.5,7.426011689126806,0.6283276428587657
36.75,8.499120073955572,0.6179059646087586
37.0,8.183373665848272,0.6096814840750389
37.25,7.701623017750343,0.6013967262808209
37.5,8.81392097522276,0.5919588333258954
37.75,8.486470040543193,0.5839791193509609
38.0,7.9868753986947105,0.5768471333204634
38.25,9.140370563238228,0.567784338917111
38.5,8.800791515787362,0.5603939340708228
38.75,8.282692911216044,0.5536667789079074
39.0,9.478911174998043,0.5453318571114572
39.25,9.12675481488028,0.538959444519051
39.5,8.589466898745497,0.5325821838020992
39.75,9.829990637892765,0.5246538002053396
40.0,9.464791127197625,0.5185367321097442
40.25,8.907603166687075,0.5127197406785509
40.5,10.194073365296557,0.505458567295668
40.75,9.815347612431065,0.4997881216054566
41.0,9.237522550644218,0.49434997901037986
41.25,10.571640971504078,0.4876401955949343
41.5,10.178887992151736,0.48231079801232435
41.75,9.579661473109514,0.4773226262013738
42.0,10.963192908817412,0.47095510418326403
42.25,10.555893163228353,0.46613762099486594
42.5,9.934472520771141,0.46140756342547967
42.75,11.369247128229341,0.4554315336097781
43.0,10.946861833965059,0.4508410717917949
43.25,10.302425043201591,0.44667423315735777
43.5,11.790340764576975,0.4410773604258669
43.75,11.352311183800536,0.4368179403776189
44.0,10.684005773720582,0.4328002786512851
44.25,12.227030847072058,0.4277272139024015
44.5,11.772777547441008,0.4237231522498839
44.75,11.079719473253453,0.4199037242848948
45.0,12.679895036147883,0.4150462145985695
45.25,12.20881712433213,0.41142635280924694
45.5,11.490089598036782,0.4076942341127267
45.75,13.149532387597503,0.40309926227408177
46.0,12.661006714408263,0.39992372920815894
46.25,13.095434031235628,0.39575557070718914
46.5,12.49301872286927,0.3924195458526356
46.75,11.7468600083387,0.3894884636429447
47.0,13.44294015619122,0.3851119585661825
47.25,12.943507264553299,0.38200390202948176
47.5,12.181528247939358,0.3792735456421741
47.75,13.940831232445028,0.3753246098954427
48.0,13.42290757045185,0.37256603804269195
48.25,12.632707090259036,0.36964620920178143
48.5,14.457171078523132,0.3657142395435195
48.75,13.920064584895318,0.3633897626647582
49.0,14.397692979231284,0.3600309133832119
49.25,13.735371239061408,0.3574573360672031
49.5,12.915011710697204,0.355048042666122
49.75,14.779756413217434,0.3515558237850492
50.0,14.230658046536266,0.34919214567235235
50.25,13.392904986068299,0.34693448546899974
50.5,15.327159640625013,0.3436308944011909
50.75,14.75773171221344,0.3415776424632917
51.0,13.888950740256316,0.3391034246928
51.25,14.252514975160839,0.3366716729519181
51.5,13.494680924004054,0.33461650621397465
51.75,15.447022271409768,0.33154009894268843
52.0,14.873191812901343,0.3292616537620696
