Energy (keV),MAC
20.0,0.17970812263783842
22.0,0.09807030037308584
24.0,0.032811414137721595
26.0,-0.015756888116174938
28.0,0.11152466221823722
30.0,0.08552966425580495
32.0,0.06457375312851939
34.0,0.04543550473491939
36.0,0.030098648920542065
38.0,0.016476371479903773
40.0,0.004093599536382011
42.0,-0.004987387003038983
44.0,-0.015194970017486214
46.0,-0.02444546098725737
48.0,-0.031373624492365616
50.0,-0.04066750824862959
52.0,-0.046889484672145675
54.0,-0.05319399737340101
56.0,-0.058971237426506326
58.0,-0.06543199946207985
60.0,-0.07154625041342803
62.0,-0.0758426685398818
64.0,-0.08296927965966802
66.0,-0.08770332177925605
68.0,-0.09200148599183304
70.0,0.05577145176589737
72.0,0.07138843183242051
74.0,0.12046948400249297
76.0,0.11855837407651218
78.0,0.11535315447538877
80.0,0.1086871896860539
82.0,0.10342559428547869
84.0,0.09892679003754139
86.0,0.09389351011434421
88.0,0.08955897303790712
90.0,0.1446676011979556
92.0,0.14337764898059635
94.0,0.14177429177922388
96.0,0.1390039310399232
98.0,0.13406542787806602
100.0,0.12924923515683706
