Energy (keV),MAC
20.0,1.3431284686629752
22.0,1.0673206167210783
24.0,0.8699892539114218
26.0,0.7329701856126539
28.0,0.6279329471429045
30.0,0.5546958670547798
32.0,0.4951254043277923
34.0,0.4458291820535943
36.0,0.40968111359662174
38.0,0.3794775446643864
40.0,0.35307574696820443
42.0,0.33416615748094786
44.0,0.3174625320852942
46.0,0.30202691950691835
48.0,0.29122669333108275
50.0,0.27922984881479995
52.0,0.267291103108785
54.0,0.2596686027681705
56.0,0.2517402960806972
58.0,0.24553748884033819
60.0,0.23909447914786777
62.0,0.2347113535857555
64.0,0.2298256436155863
66.0,0.225741670447684
68.0,0.2218558960913635
70.0,0.21804587108302198
72.0,0.21489174858550786
74.0,0.21176757961611536
76.0,0.20907095627127106
78.0,0.2066634106063524
80.0,0.2038643280525462
82.0,0.20092706461450047
84.0,0.19926520150336574
86.0,0.1969154191166881
88.0,0.19522003386955852
90.0,0.19304716009378695
92.0,0.19060514859407396
94.0,0.18423005398402534
96.0,0.18291607435766885
98.0,0.18118900873205335
100.0,0.17880436738665725
