Energy,Muscle,Fat,Skin,,,
20.0,0.8246326152414260,0.5675424622060380,0.7723969593251580,,,
20.25,0.8013139656616780,0.5544591865221980,0.7506273653590220,,,
20.5,0.7784136527219750,0.5421315397534350,0.7295319919545390,,,
20.75,0.7585160896641350,0.5292450081216220,0.710799567534607,,,
21.0,0.7387029500839950,0.5176653998969520,0.6937962206778310,,,
21.25,0.7188959956707240,0.5059569814110050,0.6757942881599830,,,
21.5,0.7010798428810430,0.4957994589820670,0.6581341521259470,,,
21.75,0.6842554522185480,0.48562203883604100,0.6429228627655290,,,
22.0,0.6688406001837710,0.4766170487876390,0.6285742156789810,,,
22.25,0.6522765057633690,0.46679288377855100,0.6134828639376580,,,
22.5,0.636383714537289,0.4580120998165110,0.6001482812263390,,,
22.75,0.6228816055164750,0.4487586627583680,0.5857864284237210,,,
23.0,0.6095943134202050,0.4409538654797630,0.5739492203837720,,,
23.25,0.5952359942919010,0.4333101015699480,0.561739341610526,,,
23.5,0.5830542197034750,0.426522964469863,0.5510890604972680,,,
23.75,0.5703936115017840,0.41864904387143000,0.5391617734770220,,,
24.0,0.5588661943872900,0.4121187598798160,0.5288651584256600,,,
24.25,0.5482053620580540,0.4062025061466820,0.5175960760211030,,,
24.5,0.5380984503435930,0.39924166336200100,0.5081770163674320,,,
24.75,0.5268127139488790,0.3932997337443580,0.4990648091147550,,,
25.0,0.5174322908410010,0.38696262940623900,0.4904996385576480,,,
25.25,0.5085264368359580,0.38149807474514600,0.480960149362525,,,
25.5,0.49888587211326700,0.37657682840113200,0.4729279906523290,,,
25.75,0.4904003683826660,0.3716196060910660,0.4654789563422160,,,
26.0,0.4810323234098540,0.3658958618744610,0.45735894677705800,,,
26.25,0.47307631891794000,0.3616898686885180,0.45009087324825200,,,
26.5,0.46546042829590700,0.357302241560774,0.44206281132189000,,,
26.75,0.45855046050914000,0.3521540861967250,0.4352357682380420,,,
27.0,0.45032513873738700,0.34838537065017000,0.4289843160003620,,,
27.25,0.44373132686378500,0.3444510385216330,0.4228904841003850,,,
27.5,0.4373927373587980,0.33970090672558000,0.4159640347770020,,,
27.75,0.4301374210787140,0.33637297255252500,0.410180068944383,,,
28.0,0.4241465371507900,0.332844434465904,0.404933602736602,,,
28.25,0.4187001412868380,0.3285173949610720,0.398570060627729,,,
28.5,0.4121290139673200,0.3256247930715340,0.39369148831940800,,,
28.75,0.40647964482717300,0.32230105427292700,0.38886441515392000,,,
29.0,0.4014724230244820,0.3190159637103340,0.3830566009285320,,,
29.25,0.39573418443579200,0.3152945887811760,0.37846993051709700,,,
29.5,0.39066752368308700,0.31249922868751000,0.37413165845758600,,,
29.75,0.38504276402299800,0.30975201158685400,0.368958475889239,,,
30.0,0.38043157317381600,0.30671905352787600,0.36473342517591400,,,
30.25,0.3762470927197610,0.30401928953138500,0.3609280202869220,,,
30.5,0.37177221251904400,0.3018301115244400,0.3561230113394250,,,
30.75,0.3674217382455520,0.2987041496258770,0.3524830982295000,,,
31.0,0.3625709453340110,0.29642506853174500,0.3489657526157250,,,
31.25,0.35863779897172100,0.29423211927908900,0.34443351892644700,,,
31.5,0.3549857907693830,0.29115558370393600,0.34106288674015500,,,
31.75,0.3507462694663560,0.2893811086571510,0.33798140786565600,,,
32.0,0.3473200499868010,0.28720408394350000,0.33382289492200100,,,
32.25,0.344132999483081,0.28506801657442300,0.330822971090147,,,
32.5,0.3399076276139200,0.28323528395662700,0.3279044789696040,,,
32.75,0.3367691336853260,0.28057348656755600,0.3242847914123710,,,
33.0,0.33384908845805200,0.2787197524728000,0.32163786574280400,,,
33.25,0.3299390636532870,0.27713050890881600,0.3188374420463470,,,
33.5,0.3271716681598630,0.2747398167158140,0.3152009785634150,,,
33.75,0.32440577116690700,0.2732481450127940,0.31297754006669100,,,
34.0,0.3208816554672580,0.27167963838297500,0.3103019722782670,,,
34.25,0.3185312065410370,0.26937570953426100,0.3077313426968450,,,
34.5,0.3157644770261510,0.2680386788609960,0.3053308754756630,,,
34.75,0.3124882262905910,0.2661343632740000,0.30227806956957000,,,
35.0,0.31025201374093500,0.26471780620766100,0.30006502480039900,,,
35.25,0.3073481665329390,0.26350643982648900,0.29799584888592800,,,
35.5,0.3051628123119260,0.26148288142266200,0.29513934011958300,,,
