Energy,PositionX,PositionY
70.0,14.8003,14.1573
70.0,-4.8056,7.42
66.3581,13.6361,-38.6314
70.0,-9.2736,17.7771
70.0,-6.3503,-13.0725
68.0118,88.4435,-64.6263
60.8093,-199.7661,31.2714
56.3139,121.9668,-199.7364
59.6797,-179.0794,-156.6951
70.0,-10.1057,-8.3882
68.7645,-45.0608,-73.2974
70.0,4.3217,7.8495
70.0,12.0885,-8.6909
56.9068,-183.373,-170.0026
70.0,15.8434,-12.6125
70.0,9.9224,14.1847
70.0,-4.5239,-4.9152
68.4989,-107.5642,-30.4442
70.0,2.7072,10.5406
70.0,-19.478,33.3088
70.0,2.5385,3.0589
66.1806,-147.5506,194.9981
70.0,15.6627,-6.1734
67.3014,150.4831,-40.9312
70.0,-7.7969,-10.643
66.9714,4.5821,164.1065
59.9511,170.5698,-199.9991
57.9687,31.9488,-192.7302
70.0,-10.2701,17.7652
67.0324,-38.1865,161.6615
70.0,-14.4825,14.303
66.3423,-41.2768,54.6905
68.3982,128.0692,-25.0209
70.0,-6.1555,16.9779
70.0,-11.6535,3.1952
64.0625,-79.9441,-169.204
67.1967,117.685,106.9264
70.0,-12.9245,11.4941
63.5311,184.0213,37.3825
56.8999,-64.0842,199.9674
70.0,55.351,-16.3696
57.5918,39.7419,-199.9761
54.2209,148.6046,-141.1392
70.0,-7.5214,19.0842
70.0,-2.8486,19.5946
68.1705,-59.217,-74.1425
69.2623,47.5933,-21.5592
67.9308,119.5483,-33.3218
70.0,5.1758,3.8204
57.078,18.7158,-199.9821
63.2048,-25.2749,199.8557
70.0,-2.3388,16.8788
66.7949,-170.2711,-80.4554
70.0,9.5831,-4.3297
68.8278,20.7094,94.3423
70.0,-10.5338,5.1302
70.0,12.6663,-15.9747
63.0815,2.1418,-130.5817
68.6926,-100.1333,-13.9255
70.0,17.3169,10.1501
69.865,-10.4041,-23.5521
57.5122,199.964,-4.6863
70.0,-0.7898,10.3761
67.2956,147.3472,-199.4396
70.0,-4.2459,-16.3063
64.7609,-107.4219,-117.0064
70.0,2.2546,-19.2038
70.0,8.3557,71.6813
66.5409,178.2917,19.6993
68.2149,-47.5366,-64.644
70.0,-4.756,-2.6109
67.9827,140.2995,7.0703
55.6286,199.9414,-64.0234
