Energy,PositionX,PositionY
70.0,-13.1127,-15.5419
70.0,2.1388,-11.9087
70.0,-5.7849,-3.2811
68.4405,-30.3278,66.2544
70.0,-15.0718,0.7815
70.0,16.0332,7.381
70.0,-10.31,-0.1124
70.0,8.1746,-18.3825
70.0,16.7848,-3.0849
70.0,71.1871,-22.283
66.9839,140.2083,-97.428
70.0,-12.5112,14.5426
70.0,75.0081,42.7004
69.2123,76.1668,7.1978
70.0,17.4234,10.0531
70.0,1.066,15.8711
70.0,15.9263,-32.55
68.0281,-70.3739,-93.912
70.0,8.8766,-11.7456
70.0,11.9931,6.268
67.8495,95.9396,-65.6429
69.6365,-52.9226,8.0891
69.6957,-5.0728,-60.4582
70.0,-16.5833,-8.452
70.0,9.46,8.6041
69.7331,12.0278,54.1216
70.0,-17.2349,-9.4624
68.6098,-93.0904,49.2879
70.0,13.283,7.218
70.0,-15.8298,12.8015
67.2415,-12.8764,-152.502
70.0,19.9682,-4.2594
70.0,20.1903,2.8096
70.0,15.5055,-7.0513
70.0,22.4838,42.9548
65.968,-113.6188,-197.2636
69.905,17.1079,-29.6226
68.6115,-9.1642,82.8712
69.4161,-50.7331,33.586
67.857,-109.0718,62.1996
65.8616,-183.7446,93.1712
65.138,178.4588,34.5297
70.0,18.6569,8.3645
70.0,9.0022,-17.5291
68.1204,-4.5136,-95.4757
70.0,9.1137,-0.555
59.2962,5.5104,-118.1426
69.3749,-76.7023,-28.0938
70.0,-0.133,20.2316
46.586,-153.6756,-27.0747
70.0,-6.7174,-18.177
67.9531,-5.5505,-22.1395
70.0,-3.7032,10.9653
68.0165,-13.1587,121.5463
70.0,0.0111,-10.0145
70.0,-16.6434,-11.7641
70.0,101.1627,37.8082
61.3406,-62.6147,27.3396
70.0,-16.1161,-0.862
6.1692,-97.7421,-167.5408
69.2667,-35.2892,28.6867
70.0,12.8382,7.425
70.0,16.7329,9.1248
67.6474,137.815,49.7872
70.0,7.0264,-4.1185
70.0,12.4556,0.6386
70.0,-13.6591,-4.4248
70.0,-0.0384,-11.7196
70.0,10.6166,-17.3865
70.0,-3.6314,-16.4101
70.0,5.5202,12.3288
67.7779,-116.9546,-27.8039
70.0,5.463,18.8407
62.54,-70.8865,-52.5548
70.0,9.1739,-6.0287
59.7386,15.9115,74.2543
70.0,2.9454,20.3426
70.0,1.0814,9.6423
66.0445,-187.0897,90.7189
70.0,-1.3682,10.2422
70.0,1.1867,9.0509
70.0,1.4169,15.5225
68.4286,3.1737,133.5773
70.0,-18.1246,-8.6528
70.0,-17.6622,-9.9162
70.0,7.6508,8.6542
70.0,-8.7283,-5.2166
70.0,10.1056,7.5018
70.0,-17.6528,10.5481
70.0,-12.9978,-2.3851
66.1579,129.5584,133.1143
70.0,-47.4716,-98.0829
70.0,4.3921,18.6937
67.25,-116.5133,-137.5928
70.0,-13.2948,-13.9354
70.0,5.5737,19.3431
70.0,5.646,12.6424
66.2087,195.6582,138.2813
70.0,0.1841,-20.2027
68.7034,-97.2238,15.234
70.0,0.5639,19.8904
67.5277,-157.1839,34.6276
70.0,8.5107,-26.2492
70.0,-4.4002,0.4004
70.0,0.7538,-0.1315
70.0,12.5143,7.3476
70.0,8.6439,-22.8102
70.0,60.0854,-14.2614
70.0,16.772,-11.5763
70.0,-14.8273,13.8504
69.095,-87.771,-10.0556
70.0,18.138,5.423
70.0,-60.4647,-34.7539
70.0,8.2671,-6.0625
68.1319,-21.4939,99.408
70.0,17.7451,4.3545
70.0,1.991,4.2268
70.0,19.828,-4.7345
64.2133,-150.488,-25.3045
70.0,-5.4731,-16.4261
47.8714,50.5117,-11.2431
70.0,139.2027,-181.5813
68.9355,79.1981,17.3734
69.8176,-16.3843,20.6106
70.0,-3.6948,20.0063
70.0,10.433,14.7278
69.8758,35.9743,-0.1231
70.0,-14.4088,14.6518
70.0,15.0409,-9.065
68.0924,47.4916,-130.7983
70.0,20.2269,-1.9229
59.3182,-92.8047,-178.5547
70.0,-18.4824,-8.6245
70.0,7.2212,10.1244
70.0,-16.8476,-3.8676
70.0,17.8516,9.9267
70.0,0.8135,10.3263
70.0,13.293,15.0872
70.0,-1.864,18.2629
69.2033,40.8248,55.3671
70.0,9.8867,9.1955
68.3117,-82.1153,-7.7464
67.1483,183.3309,4.6607
67.2185,-76.4585,-151.0303
70.0,18.1964,-8.9032
68.0283,-48.0578,115.3126
70.0,-18.692,-8.2232
70.0,-19.2886,4.5662
70.0,-6.4148,11.325
70.0,3.5277,-19.7439
70.0,10.2785,8.3871
70.0,82.003,-129.4478
70.0,18.5149,6.997
67.7494,-142.2548,-63.803
69.6104,-30.0664,-50.903
70.0,-9.7821,2.265
69.3427,98.8839,29.1933
70.0,1.2509,-15.3517
70.0,1.7719,3.519
68.222,-13.8624,125.501
70.0,43.9118,62.9846
70.0,-12.041,8.6204
70.0,-45.1133,17.3089
70.0,3.1831,7.4328
70.0,-8.4526,39.8403
70.0,-145.6347,-120.4494
70.0,16.717,11.6955
70.0,-6.9939,11.1797
69.7006,-3.9069,30.6268
67.0943,97.601,158.1197
65.8575,175.8561,-188.3676
70.0,-18.9348,2.902
70.0,8.802,55.4796
68.633,-122.2536,-113.4294
70.0,-128.8746,-27.3799
70.0,16.8623,-11.3255
69.2265,-81.3844,-23.443
68.2211,84.6352,-112.6534
