Energy,PositionX,PositionY
70.0,-11.0547,15.4022
70.0,-6.1999,-4.3796
66.8628,178.2936,18.8632
70.0,-3.7048,-12.5673
68.1115,4.4329,-130.6344
70.0,-17.0945,8.9245
70.0,10.0484,4.254
70.0,-0.2722,20.3951
70.0,-6.5086,-19.3622
70.0,-7.2932,3.9504
67.9961,103.7227,-63.509
70.0,-7.9447,18.8109
70.0,4.0914,18.5559
70.0,-5.5153,-10.0516
67.5926,-2.1101,162.051
70.0,18.9462,3.906
70.0,3.2823,-9.6834
70.0,10.6276,13.1525
66.9082,151.8961,24.0006
66.743,-128.3059,-160.418
66.341,-191.8116,-92.6458
48.6218,-103.6872,-24.9688
68.4273,1.9926,-103.087
70.0,15.9193,9.5461
70.0,15.2588,19.471
67.2633,172.6444,11.0496
70.0,-8.4272,9.6761
63.887,31.0651,-81.2453
70.0,-12.3161,16.4147
66.9156,153.3504,110.0699
70.0,1.1194,-9.1031
70.0,52.6701,27.4176
70.0,1.4932,19.1716
70.0,2.5988,12.4449
66.2869,149.2244,194.0546
70.0,-20.0953,-3.2915
70.0,-86.9862,20.399
67.3496,63.5885,-159.8158
70.0,-11.9843,15.565
70.0,2.8457,4.7201
68.6039,77.6247,11.7065
66.8539,-127.8135,-24.7391
69.6723,17.9671,14.7864
69.8903,0.3313,35.4976
70.0,-2.6388,-7.6095
70.0,-4.2461,-1.2065
70.0,-6.5526,0.6886
68.4063,38.3296,-102.3423
70.0,-9.9368,10.7689
70.0,5.2779,-16.6496
65.45,46.2015,-30.8422
70.0,12.4084,-16.4078
69.653,-17.4898,-26.6481
70.0,-9.7745,-8.5995
70.0,-14.6017,13.0804
70.0,6.0089,3.3501
69.0587,-91.223,48.1059
68.044,-115.6711,69.1498
70.0,-17.614,9.956
70.0,14.5154,12.3754
66.8579,-7.104,-196.3825
62.4325,-15.0538,-142.1177
69.7974,-28.1766,-28.5386
70.0,-3.6156,2.986
66.48,120.4345,-138.007
70.0,4.4477,-5.5051
69.6616,39.5412,23.0238
52.3209,-101.6554,134.7886
68.2432,118.1399,45.6628
70.0,-9.6709,-16.0158
70.0,-0.369,-18.5699
70.0,11.5196,-15.3116
67.1218,-33.8617,174.5874
65.5755,-22.5738,-172.7099
67.0998,-64.3855,84.4814
70.0,-7.2098,8.6224
69.497,-51.2325,27.5163
70.0,-10.5147,8.0039
70.0,13.6051,-14.9899
70.0,-11.4342,-7.7618
70.0,-4.5227,15.7968
70.0,-8.135,-16.9765
70.0,-31.5822,-68.2757
70.0,-16.0531,-4.3199
68.5094,-76.1063,-83.0251
70.0,11.1165,15.0731
70.0,-10.5319,5.1483
65.9702,123.3311,-178.4849
70.0,2.5758,20.308
70.0,-8.0178,12.7283
70.0,-15.4507,-2.8357
70.0,-17.7386,-9.8274
69.568,-16.3049,46.4068
68.4034,26.8521,95.7374
70.0,21.122,-52.8462
70.0,-15.843,-0.5515
