Energy,PositionX,PositionY
70.0,-9.1421,-6.4685
70.0,-17.4979,-9.1748
66.8628,178.599,23.241
70.0,-5.711,-18.9274
68.1115,5.8216,-132.8572
70.0,15.2042,6.5468
70.0,-10.7718,5.8825
70.0,-8.4857,-14.9731
70.0,5.1232,-14.5064
70.0,10.2228,17.495
66.9082,146.7015,20.3333
66.743,-131.1646,-159.2666
66.341,-192.288,-94.8321
68.4273,3.9608,-100.5119
70.0,-0.9165,20.485
70.0,-12.6344,14.5437
67.5855,97.7632,67.0298
66.9156,150.2755,111.1109
70.0,1.8587,-13.7436
70.0,4.0574,18.6427
68.2347,-37.9941,123.139
67.3496,67.2651,-160.9971
70.0,4.4246,7.0486
70.0,20.2995,1.6978
70.0,-14.9775,4.0831
70.0,-1.9722,-4.8582
67.2818,34.6502,145.2162
70.0,14.9412,10.3795
70.0,0.233,-20.1753
65.884,192.3102,-164.0052
70.0,15.4707,13.4022
13.8405,45.0052,105.5812
70.0,-16.5174,2.6795
69.1994,-27.0731,-72.2635
70.0,32.4688,-6.6086
70.0,0.7464,18.5221
70.0,-4.8839,-16.3771
70.0,-16.6965,-3.3135
70.0,18.9418,-7.4037
66.9725,112.7976,-126.2093
70.0,18.649,8.5739
67.9231,-63.4705,-148.4168
70.0,65.4327,112.7207
65.6245,-130.4368,81.4264
65.8295,-196.8582,182.1863
70.0,-9.8307,-1.7328
67.0315,-11.607,180.2848
70.0,-19.0598,-5.3212
70.0,-8.1155,18.1192
70.0,-19.2335,-6.3257
70.0,3.7082,-3.0497
70.0,-16.5313,10.9316
66.6384,193.407,23.7465
70.0,15.4999,7.9425
66.5333,-137.7108,168.781
70.0,-13.9353,14.6374
67.3008,156.0125,-28.1224
70.0,-2.0971,-4.8237
70.0,-17.8495,-3.352
68.6404,70.6355,-26.0314
70.0,17.6402,-10.5881
70.0,19.9564,-1.4708
68.5062,24.3393,95.8711
6.8221,13.7311,-4.6765
70.0,-5.0229,-17.544
69.2159,35.6593,70.8955
70.0,3.4533,20.09
70.0,-45.747,-20.2145
70.0,-9.6546,-13.7999
70.0,12.3417,-5.7178
70.0,4.1529,-4.4028
67.6202,79.5827,117.171
70.0,2.2962,-19.8364
70.0,20.2637,-3.7483
68.9772,-85.0788,-43.7598
70.0,-10.3212,-4.0015
70.0,-3.6042,-1.0006
70.0,69.5194,114.5767
70.0,-24.8502,28.1099
68.4887,76.4436,-44.7819
70.0,-2.6923,19.0038
70.0,13.1891,-15.0299
70.0,13.9617,12.9486
70.0,9.3253,13.9023
70.0,-14.1193,14.4271
70.0,-3.0576,-5.5556
70.0,4.8081,-12.2993
69.1787,-11.4552,80.9414
68.8701,35.4004,68.2412
70.0,9.0276,0.1649
67.2541,-125.6429,-67.3007
70.0,-6.4097,-2.2476
66.3643,74.7163,185.694
68.5431,-56.5836,100.9353
67.6172,168.3281,-37.9503
68.2597,-56.2916,85.857
70.0,-15.4274,-1.3098
70.0,11.3542,2.6453
66.453,-7.4244,192.3443
48.2468,33.3082,3.0337
70.0,-17.1218,9.9662
70.0,-2.0896,20.0087
70.0,-19.6815,-0.2783
70.0,1.0499,8.3004
70.0,-0.9588,-19.0817
70.0,-27.2343,4.7254
68.2305,-47.0822,127.6573
67.1518,-172.2967,78.9479
65.5986,-183.0616,138.7104
68.8576,104.3155,-4.5578
67.9734,52.8899,131.6736
70.0,-11.0287,-16.2283
69.2521,-49.0269,-22.5407
70.0,11.6637,-1.0427
67.4211,151.0071,-94.2874
70.0,6.6252,-11.8974
70.0,7.6514,-18.9878
70.0,-13.3597,12.5975
70.0,-17.2164,10.3859
68.7222,54.3103,-78.2325
70.0,2.0863,-8.2069
70.0,-16.6242,-4.6217
69.8493,-27.5944,-2.1691
70.0,12.1676,9.7666
70.0,-18.9252,1.7141
67.912,76.2154,65.0456
66.2659,-159.4008,86.5281
70.0,19.5028,1.8159
70.0,2.4422,4.988
70.0,0.0435,2.2735
70.0,-4.7505,5.1449
70.0,29.7913,-15.6147
60.7829,99.7171,11.2372
70.0,17.8668,-8.2281
69.0843,23.8256,-64.1624
70.0,5.7926,6.4334
70.0,-6.471,-3.9106
69.2399,23.938,-73.5662
69.8597,-15.3133,37.698
70.0,7.58,5.6858
70.0,-17.372,10.5821
70.0,8.9759,-7.7038
70.0,-18.5258,-7.8165
70.0,14.3261,-13.9116
70.0,-1.1896,-14.9459
54.4909,119.5042,109.7741
70.0,-0.4638,-5.7597
70.0,57.3501,-22.569
67.5302,115.43,49.0252
67.9382,-84.5142,-83.9687
70.0,-18.8136,4.2834
70.0,-6.6612,18.4185
70.0,-14.1003,14.6637
70.0,-2.8914,1.1012
70.0,-18.3894,-6.9449
67.1976,192.7365,-45.5465
70.0,-10.7618,5.3071
70.0,-19.7269,4.2344
67.7444,84.8715,-91.716
70.0,12.3227,-15.5789
70.0,-3.3465,10.8212
70.0,7.0854,15.5234
70.0,12.0576,-13.1205
58.2162,83.2383,85.6944
70.0,18.0887,-9.3929
57.3668,156.4221,-174.7714
70.0,-8.178,-1.6202
70.0,1.08,19.4752
70.0,19.706,4.1075
70.0,-13.9731,4.6229
70.0,-44.2568,42.7301
69.4518,28.1594,62.8696
70.0,5.8611,31.6849
70.0,68.0709,-36.7726
70.0,12.1732,-10.4049
70.0,-16.8413,-11.0831
70.0,6.1985,-11.3078
69.5384,44.8758,-25.2842
70.0,13.5117,10.5928
70.0,5.7541,9.3511
14.1331,17.1344,-10.9137
69.9495,20.2527,8.4565
70.0,-4.0226,10.1218
68.348,133.3012,1.4019
70.0,5.9311,19.2684
70.0,1.672,16.9716
61.3595,157.2271,-36.2674
69.443,-40.4994,28.9058
68.2339,118.3142,-15.5703
70.0,-0.2715,-9.5302
70.0,-18.8557,7.3803
67.6378,-102.2602,-143.0072
70.0,3.7099,5.0124
69.8155,0.7062,16.498
68.8792,-84.7118,-47.4646
67.7253,-147.2167,-70.7127
70.0,20.4339,-1.8628
70.0,-1.7519,-16.1795
67.7651,44.1284,126.2636
70.0,4.9431,-19.7515
70.0,7.2559,-4.4705
70.0,5.0328,19.9699
65.8684,-52.5538,72.1464
65.5462,-25.1839,-5.8482
70.0,-11.7594,-7.101
70.0,11.3746,11.1607
66.0731,-175.4228,-147.4228
70.0,-0.8021,-4.0711
70.0,7.5266,11.6364
70.0,3.9057,2.2175
68.9529,65.4582,-86.6986
67.8157,-129.2748,19.3437
70.0,9.7427,-17.6957
67.0986,-15.5231,123.7268
70.0,-16.7552,-3.4449
70.0,-10.6333,-15.1561
70.0,8.2432,4.8891
68.8158,-75.1758,-29.5465
66.0254,-172.5419,177.4317
68.5236,-95.6569,72.8295
70.0,-6.8698,-18.3514
66.292,126.5717,163.3201
70.0,12.92,10.8067
70.0,-4.7151,-17.6893
70.0,4.2865,9.0665
70.0,-11.0956,16.1854
70.0,-13.5099,14.9719
66.0338,-154.5235,-189.804
70.0,-1.6812,20.2127
70.0,6.3744,6.1255
68.8252,61.8498,-27.0761
70.0,16.6167,-5.5298
68.1421,39.2312,-106.7419
69.8217,6.1429,15.9919
47.8155,33.3643,91.4146
70.0,0.6627,-14.0592
66.8543,101.0332,-96.4668
70.0,-17.829,9.3572
66.9308,41.374,183.9174
70.0,3.7271,-51.827
67.471,-80.7213,-133.6619
70.0,6.0322,-11.08
57.708,-90.4377,40.9097
70.0,2.199,-15.0325
70.0,0.0179,-5.0376
66.6606,37.8071,-178.4756
55.3017,-198.3148,-118.2939
64.4176,32.264,-58.3408
67.4606,84.7177,-147.0651
69.5076,-41.8929,-33.3918
70.0,-3.0293,-20.1023
70.0,-4.7634,8.5819
70.0,16.2224,4.4641
70.0,9.5987,-17.9003
70.0,-10.5548,15.9162
70.0,7.6737,6.2134
70.0,81.627,-124.8491
70.0,17.4189,-9.419
67.7494,-139.0658,-59.9288
70.0,4.7578,18.877
70.0,4.0904,-18.4195
70.0,-7.3409,1.6215
70.0,-12.7053,-15.0347
70.0,-8.1599,-13.2734
68.6312,-58.5013,-86.0591
70.0,11.8544,-4.3843
67.135,137.06,-105.4143
70.0,-1.9376,11.2709
70.0,17.0772,9.8943
70.0,47.2772,51.7625
67.9769,-137.6063,5.2346
65.2825,22.1529,-130.2453
70.0,8.7592,-2.617
70.0,1.6597,3.836
68.6806,-20.528,110.6377
68.3131,-16.7574,-107.7693
70.0,19.3618,0.2616
69.3339,-13.0594,66.9924
70.0,3.2349,10.9758
70.0,14.4026,-9.0444
70.0,-1.185,19.9707
66.4913,2.7512,197.2702
70.0,17.8661,10.0979
70.0,5.1299,-12.029
70.0,-3.2443,-20.1773
51.6747,-153.2691,-46.0165
70.0,10.3415,5.1841
70.0,13.427,15.2417
70.0,6.4443,15.2041
70.0,6.5563,2.6565
70.0,-57.2132,1.3815
70.0,-5.0003,-18.9725
69.5156,32.9929,-14.6613
66.9147,179.6489,-97.5803
70.0,46.9177,72.9575
70.0,11.7178,3.3617
70.0,12.3059,11.829
68.0165,127.9385,33.0905
69.7077,3.094,42.4709
67.7424,-97.4929,-116.4001
70.0,18.3154,3.651
67.944,-126.2406,10.2688
70.0,-6.6138,-15.2049
70.0,-19.9716,1.3779
70.0,15.6458,-5.7475
66.1964,153.3767,128.4736
70.0,-19.3072,3.2483
70.0,-15.8561,3.0581
70.0,3.0334,2.1548
69.6784,26.6511,-45.0327
70.0,17.2592,2.3063
70.0,10.0881,16.8292
70.0,-1.153,4.4471
70.0,-18.7098,-7.0926
69.5957,-64.9901,20.2455
67.7455,-74.2705,125.2231
70.0,-13.386,13.7835
70.0,-4.3597,4.2682
48.64,-149.9824,71.4211
63.6265,70.0153,86.7202
70.0,13.9611,1.2146
70.0,10.2664,-3.894
67.6403,-147.6793,-8.5286
70.0,-20.3411,-2.2829
68.2611,24.6257,-118.158
70.0,-0.9236,19.6693
70.0,6.8185,19.391
70.0,10.3114,8.1505
70.0,-8.1783,10.8792
10.2982,-13.4631,-8.5705
67.0276,156.3529,101.3563
70.0,-1.7323,9.8801
70.0,13.8764,12.8282
70.0,-14.3581,-12.3726
60.0786,181.9791,-60.0332
70.0,9.6036,16.6468
70.0,19.5223,-5.2651
70.0,20.013,-0.3324
70.0,0.9413,-0.22
70.0,-0.9366,2.883
67.9198,140.013,35.7711
70.0,-20.0688,-2.1228
70.0,-14.6577,23.7532
66.1666,139.2411,144.1079
62.8008,-121.6582,107.4628
69.6111,-15.4598,44.8451
