Energy,PositionX,PositionY
70.0,0.7615,19.8606
67.1302,91.6713,-168.0745
67.2402,122.3673,140.5908
70.0,-3.7755,10.4294
70.0,7.9635,20.9198
70.0,2.1007,17.0959
67.5246,157.0049,-30.2168
59.7249,-97.683,132.8265
70.0,-23.9403,3.6448
70.0,0.1173,-13.3725
70.0,8.2821,11.7978
70.0,-3.8141,-4.056
68.4989,-104.7514,-32.3702
70.0,2.311,8.8043
70.0,-19.8509,33.8343
70.0,-12.7061,-2.0007
70.0,-7.5139,18.396
67.0078,170.6596,-59.8046
70.0,-10.982,-12.3695
67.0084,-113.6262,196.6578
70.0,69.3218,35.5936
66.9983,145.0733,-33.2459
70.0,15.823,12.2165
70.0,-5.1071,-20.1603
70.0,10.7509,-16.6289
66.5825,190.9148,48.2805
70.0,16.1686,-2.0725
67.0781,-25.4277,56.6759
70.0,-37.7392,-9.015
70.0,18.0474,9.169
66.6778,16.055,199.7765
67.3723,-9.4496,-132.5629
68.8701,41.1497,63.244
70.0,17.813,-4.015
64.373,106.7011,19.5311
69.4186,13.4379,28.4534
70.0,-13.1393,2.4488
66.987,98.4766,5.6326
70.0,5.2121,19.3146
70.0,7.3247,-7.8188
70.0,-20.1029,-1.4573
69.02,-60.0474,69.4108
66.489,133.1902,135.9584
66.213,-186.4908,-131.9872
69.7884,38.8485,-4.6092
68.1304,94.8355,18.5968
70.0,8.1547,17.206
68.1011,-110.2,-6.356
66.6561,-32.747,-120.4704
70.0,3.786,-4.5603
70.0,179.7207,-4.1276
70.0,-15.0498,-8.1138
53.9852,-67.1163,164.1078
70.0,-15.0677,13.4996
66.1464,-111.8278,-147.7336
68.7655,81.2959,-40.386
67.1927,-52.5233,-145.2151
70.0,-8.1838,-13.3794
70.0,-9.3193,-18.0266
70.0,-8.0806,4.9336
66.65,-160.4305,143.1797
70.0,-17.8056,-7.4566
70.0,11.1388,-6.4793
70.0,-1.7942,2.3296
70.0,-10.0572,13.3531
70.0,-0.2792,7.058
68.9936,4.7566,-82.2455
70.0,15.1672,-6.698
70.0,-1.3849,7.4995
70.0,12.3057,-2.2184
70.0,-13.6456,12.4126
13.9796,1.767,10.2198
70.0,16.2018,12.2443
70.0,-11.7049,-10.2149
60.9697,-165.7626,-57.9207
70.0,6.5122,-2.3322
70.0,-0.6112,-19.7203
70.0,11.1229,-1.4134
67.9866,39.8817,83.236
70.0,-12.0501,16.5091
68.7647,-45.0605,57.5725
66.594,-64.1131,-168.9211
70.0,-6.461,-18.1901
68.7129,-79.6979,61.5137
70.0,5.6424,-13.4672
69.7131,-56.8005,-12.5701
70.0,12.019,8.6932
70.0,12.9567,-15.6516
70.0,16.8736,1.8999
66.5062,-178.3223,-46.1112
68.4175,-105.8471,59.3876
46.9613,-26.882,-1.7502
70.0,-2.5664,-19.5173
70.0,-4.7637,-0.0308
70.0,-10.9824,-12.2337
70.0,-9.9284,-17.7275
70.0,16.3569,9.0646
70.0,7.1814,14.8888
70.0,10.432,10.3937
70.0,13.6574,14.9436
70.0,-11.1332,11.9695
61.5747,60.5265,155.6108
70.0,-5.816,-18.1721
67.6644,-102.7576,-53.2339
70.0,3.9776,1.6538
8.3112,-108.7071,168.6471
70.0,14.4228,-11.5037
66.6863,170.7048,-47.868
70.0,-8.0252,18.9172
70.0,14.7951,-1.7382
70.0,-10.1313,18.2098
69.0186,74.7739,-46.9722
70.0,1.6267,19.6132
70.0,-11.8726,8.9952
69.1581,-62.5826,-54.8019
70.0,15.6885,-12.6275
70.0,-3.5227,10.8375
70.0,-5.9208,-5.0785
69.3514,-55.7481,-15.7356
67.3483,26.6247,164.0196
65.3787,158.1097,90.0372
65.3143,155.2467,101.1463
68.3873,-126.0064,31.192
70.0,7.5675,18.7217
70.0,12.8282,15.7945
70.0,-4.8258,6.3144
70.0,0.0675,9.0057
46.585,107.2173,120.8646
65.8154,-186.1662,149.1652
69.9354,11.2851,35.4573
70.0,1.7665,-9.6229
70.0,-6.6389,3.3571
70.0,-0.8054,20.1538
70.0,-19.447,-5.5646
70.0,157.1396,-78.1804
68.643,-69.3092,4.3497
70.0,-3.5785,-12.3163
70.0,1.168,15.7648
67.7521,83.6423,112.0835
68.2394,39.0982,3.6478
70.0,7.114,-8.463
67.8285,-72.2088,-127.986
70.0,-6.0801,19.1713
70.0,-20.2355,1.9626
67.9163,-14.2925,-127.7681
66.5803,-63.7112,193.252
70.0,14.8142,-12.2853
67.3553,95.3152,-132.3341
70.0,-17.8748,9.5948
66.8124,180.6548,61.5121
49.7328,-164.9825,73.3831
70.0,6.4704,5.5647
70.0,-6.4326,-0.4566
70.0,-8.5448,18.2883
70.0,-19.9188,4.3133
70.0,-18.4898,5.1913
70.0,-0.6714,17.4121
70.0,3.0002,14.0874
70.0,-12.6265,0.3346
70.0,-12.5232,10.1179
70.0,-2.8713,-2.2736
69.816,34.2996,24.9807
70.0,-13.0681,-12.5124
70.0,-5.0681,-6.7337
70.0,-1.1662,-7.1174
69.0879,47.5741,25.472
70.0,-8.9203,4.6062
69.6334,-51.5752,6.2932
66.3606,47.8889,147.0241
70.0,-17.6478,-9.6396
70.0,28.2499,-17.4852
70.0,18.1804,-4.953
70.0,-2.4164,-10.0569
70.0,18.3917,1.4609
66.9267,47.3109,139.7011
