Energy,PositionX,PositionY
70.0,-5.5328,8.6763
66.3581,14.3536,-40.9807
70.0,-7.4746,-15.2522
70.0,14.87,13.6708
65.5837,-199.971,75.3497
70.0,2.7594,6.359
70.0,-11.5674,12.1974
66.9751,102.0114,-182.2566
67.0639,-154.7173,40.0024
70.0,11.5693,16.5811
70.0,-5.2337,-5.7744
61.2277,-39.5573,8.973
70.0,3.1033,12.2768
70.0,-19.1053,32.7835
70.0,-5.1693,19.1223
66.783,-26.2748,-138.8893
65.9208,-176.5551,148.1515
61.1922,-81.8111,199.7092
67.857,-103.6303,64.2298
55.7196,180.8786,1.0874
70.0,-16.1517,11.4415
57.2442,-169.5988,-75.0525
68.5662,110.9735,-67.6184
70.0,14.863,1.3472
70.0,12.1788,5.257
69.5262,6.3057,-63.3045
67.8882,146.5408,-9.433
56.1188,185.3579,199.5498
57.2469,141.2075,199.961
70.0,-1.7165,-20.3339
70.0,1.4368,4.1834
70.0,10.552,17.4895
70.0,-16.9686,-11.4956
70.0,-10.6904,3.8104
65.03,-174.393,83.464
70.0,9.1343,6.6144
70.0,-16.1936,-5.5959
68.4913,-73.6339,-78.9566
70.0,-11.3238,-16.455
45.8573,38.2267,-91.0262
65.8115,153.6727,99.078
70.0,10.2394,-13.2239
56.9754,26.4122,199.7559
70.0,-16.4123,-3.6718
70.0,-15.462,6.461
70.0,-2.1168,10.4959
70.0,20.1698,3.099
69.4518,33.3515,71.004
61.3748,78.9637,16.8935
70.0,-13.5459,14.2
60.6699,-199.9858,134.7744
66.6965,-32.7651,164.2005
63.2281,199.1322,148.9139
68.9355,73.1067,13.9573
56.043,199.7635,-71.9021
69.8176,-9.2745,25.0779
70.0,-41.5706,39.8013
70.0,-10.7445,3.0635
65.1816,106.8823,-143.5147
70.0,6.4323,-18.4906
69.4787,33.7731,75.9662
58.0337,-17.2236,21.5104
67.0986,-23.3179,120.6104
70.0,-16.5873,8.8644
63.0906,199.558,-184.8982
65.6671,-63.6189,-60.2427
70.0,-7.5175,-7.1807
64.5634,-184.1656,96.451
64.7649,139.3669,132.4118
70.0,-27.1733,13.0221
56.3505,84.494,-199.9286
63.385,-100.956,-100.2132
70.0,-8.9071,-0.3067
70.0,-174.8218,100.5172
70.0,-17.1811,2.4408
70.0,-77.576,64.5568
70.0,-6.6153,16.9216
56.0962,-192.7925,-199.9943
65.3143,155.6397,96.8152
56.8361,-68.1752,-141.714
55.3965,199.9628,72.3008
70.0,-5.9812,3.0391
